src,dst,day
172.016.117.052,207.025.071.144,0
194.027.251.021,192.168.001.001,0
230.001.010.020,172.016.112.050,0
010.020.030.040,172.016.112.050,0
172.016.114.169,204.034.204.071,0
202.072.001.077,172.016.112.021,0
010.020.030.040,172.016.112.050,0
194.027.251.021,192.168.001.001,0
192.168.001.001,207.230.054.203,0
172.016.113.105,141.108.016.071,0
166.102.114.043,172.016.113.050,0
172.016.112.207,194.027.251.021,0
010.020.030.040,172.016.112.050,0
172.016.113.105,131.084.001.031,0
172.016.116.044,137.245.085.134,0
166.102.114.043,172.016.113.050,0
199.174.194.171,172.016.114.050,0
172.016.115.005,209.153.194.162,0
209.074.060.168,172.016.113.050,0
230.001.010.020,172.016.112.050,0
192.168.001.001,194.027.251.021,0
194.027.251.021,192.168.001.001,0
199.174.194.072,172.016.114.050,0
010.020.030.040,172.016.112.050,0
166.102.114.043,172.016.113.050,0
166.102.114.043,172.016.113.050,0
194.027.251.021,192.168.001.001,0
172.016.112.050,207.025.071.025,0
135.013.216.191,172.016.113.050,0
230.001.010.020,172.016.112.050,0
172.016.117.052,207.046.131.018,0
010.020.030.040,172.016.112.050,0
172.016.114.207,207.046.131.015,0
172.016.117.103,209.049.128.002,0
135.013.216.191,172.016.113.050,0
196.227.033.189,172.016.114.148,0
230.001.010.020,172.016.112.050,0
172.016.117.103,205.181.112.065,0
010.020.030.040,172.016.112.050,0
209.074.060.168,172.016.113.050,0
230.001.010.020,172.016.112.050,0
135.013.216.191,172.016.113.050,0
010.020.030.040,172.016.112.050,0
135.013.216.191,172.016.113.050,0
192.168.001.010,172.016.112.020,0
010.020.030.040,172.016.112.050,0
194.027.251.021,192.168.001.001,0
172.016.114.148,194.027.251.021,0
230.001.010.020,172.016.112.050,0
230.001.010.020,172.016.112.050,0
199.174.194.182,172.016.114.050,0
135.008.060.182,172.016.112.207,0
230.001.010.020,172.016.112.050,0
199.174.194.083,172.016.114.050,0
010.020.030.040,172.016.112.050,0
194.027.251.021,192.168.001.001,0
172.016.115.234,140.175.174.030,0
172.016.116.194,207.046.130.139,0
010.020.030.040,172.016.112.050,0
230.001.010.020,172.016.112.050,0
172.016.116.194,209.001.224.015,0
010.020.030.040,172.016.112.050,0
172.016.116.201,192.151.011.013,0
172.016.113.204,196.037.075.158,0
230.001.010.020,172.016.112.050,0
199.174.194.006,172.016.114.050,0
194.027.251.021,192.168.001.001,0
194.007.248.153,172.016.114.148,0
010.020.030.040,172.016.112.050,0
010.020.030.040,172.016.112.050,0
197.218.177.069,172.016.114.168,0
010.020.030.040,172.016.112.050,0
010.020.030.040,172.016.112.050,0
010.020.030.040,172.016.112.050,0
230.001.010.020,172.016.112.050,0
010.020.030.040,172.016.112.050,0
166.102.114.043,172.016.113.050,0
010.020.030.040,172.016.112.050,0
230.001.010.020,172.016.112.050,0
010.020.030.040,172.016.112.050,0
135.013.216.191,172.016.113.050,0
172.016.114.148,208.202.062.220,0
172.016.115.234,209.001.028.062,0
172.016.116.201,209.001.112.251,0
166.102.114.043,172.016.113.050,0
172.016.112.020,192.168.001.020,0
208.239.005.056,172.016.114.050,0
010.020.030.040,172.016.112.050,0
172.016.112.149,197.182.091.233,0
172.016.116.194,209.001.224.012,0
010.020.030.040,172.016.112.050,0
172.016.114.169,204.202.129.230,0
209.074.060.168,172.016.113.050,0
